!_OSCILLOSCOPE PARAMETERS_
!
	!_CHANNEL SETTINGS_
	!Position: 
	!CH1:0.0000
	!Scale:
 	!CH1:50.0000E-3
	!Bandwidth:
	!CH1:33.0000E+9
	!_END CHANNEL SETTINGS_
!
	!_HORIZONTAL SCALE_
	!Sampling Frequency: 125.0000E+6
	!Epoch: 500
	!_END HORIZONTAL SCALE_
!
	!_TRIGGER_
 	!Source: CH1
	!Level: -3.0000E-3
	!Slope: RIS
	!Coupling: DC
	!_END TRIGGER_
!
 	!_MODE_
	!Sampling Mode: IT
	!Acquisition Mode: SAM
	!_END MODE_
!
1.664000E-6	0.150000
1.672000E-6	0.154000
1.680000E-6	0.148000
1.688000E-6	0.150000
1.696000E-6	0.150000
1.704000E-6	0.152000
1.712000E-6	0.154000
1.720000E-6	0.148000
1.728000E-6	0.152000
1.736000E-6	0.156000
1.744000E-6	0.150000
1.752000E-6	0.152000
1.760000E-6	0.144000
1.768000E-6	0.156000
1.776000E-6	0.154000
1.784000E-6	0.146000
1.792000E-6	0.148000
1.800000E-6	0.160000
1.808000E-6	0.148000
1.816000E-6	0.154000
1.824000E-6	0.146000
1.832000E-6	0.150000
1.840000E-6	0.152000
1.848000E-6	0.150000
1.856000E-6	0.148000
1.864000E-6	0.156000
1.872000E-6	0.146000
1.880000E-6	0.154000
1.888000E-6	0.154000
1.896000E-6	0.146000
1.904000E-6	0.112000
1.912000E-6	-0.156000
1.920000E-6	-0.162000
1.928000E-6	-0.154000
1.936000E-6	-0.162000
1.944000E-6	-0.158000
1.952000E-6	-0.160000
1.960000E-6	-0.160000
1.968000E-6	-0.158000
1.976000E-6	-0.160000
1.984000E-6	-0.154000
1.992000E-6	-0.154000
2.000000E-6	-0.162000
2.008000E-6	-0.156000
2.016000E-6	-0.160000
2.024000E-6	-0.160000
2.032000E-6	-0.154000
2.040000E-6	-0.156000
2.048000E-6	-0.160000
2.056000E-6	-0.156000
2.064000E-6	-0.154000
2.072000E-6	-0.158000
2.080000E-6	-0.156000
2.088000E-6	-0.156000
2.096000E-6	-0.154000
2.104000E-6	-0.158000
2.112000E-6	-0.154000
2.120000E-6	-0.156000
2.128000E-6	-0.156000
2.136000E-6	-0.158000
2.144000E-6	-0.158000
2.152000E-6	-0.160000
2.160000E-6	-0.154000
2.168000E-6	-0.154000
2.176000E-6	-0.158000
2.184000E-6	-0.160000
2.192000E-6	-0.158000
2.200000E-6	-0.160000
2.208000E-6	-0.156000
2.216000E-6	-0.160000
2.224000E-6	-0.150000
2.232000E-6	-0.160000
2.240000E-6	-0.156000
2.248000E-6	-0.154000
2.256000E-6	-0.156000
2.264000E-6	-0.162000
2.272000E-6	-0.160000
2.280000E-6	-0.162000
2.288000E-6	-0.158000
2.296000E-6	-0.158000
2.304000E-6	-0.156000
2.312000E-6	-0.158000
2.320000E-6	-0.160000
2.328000E-6	-0.162000
2.336000E-6	-0.154000
2.344000E-6	-0.160000
2.352000E-6	-0.160000
2.360000E-6	-0.162000
2.368000E-6	-0.154000
2.376000E-6	-0.160000
2.384000E-6	-0.160000
2.392000E-6	-0.158000
2.400000E-6	-0.158000
2.408000E-6	0.142000
2.416000E-6	0.156000
2.424000E-6	0.152000
2.432000E-6	0.152000
2.440000E-6	0.154000
2.448000E-6	0.154000
2.456000E-6	0.154000
2.464000E-6	0.154000
2.472000E-6	0.152000
2.480000E-6	0.152000
2.488000E-6	0.152000
2.496000E-6	0.146000
2.504000E-6	0.150000
2.512000E-6	0.144000
2.520000E-6	0.152000
2.528000E-6	0.154000
2.536000E-6	0.146000
2.544000E-6	0.150000
2.552000E-6	0.148000
2.560000E-6	0.150000
2.568000E-6	0.148000
2.576000E-6	0.152000
2.584000E-6	0.154000
2.592000E-6	0.154000
2.600000E-6	0.150000
2.608000E-6	0.152000
2.616000E-6	0.150000
2.624000E-6	0.154000
2.632000E-6	0.152000
2.640000E-6	0.148000
2.648000E-6	0.150000
2.656000E-6	0.144000
2.664000E-6	0.146000
2.672000E-6	0.156000
2.680000E-6	0.148000
2.688000E-6	0.152000
2.696000E-6	0.148000
2.704000E-6	0.148000
2.712000E-6	0.154000
2.720000E-6	0.148000
2.728000E-6	0.150000
2.736000E-6	0.146000
2.744000E-6	0.148000
2.752000E-6	0.154000
2.760000E-6	0.150000
2.768000E-6	0.154000
2.776000E-6	0.152000
2.784000E-6	0.154000
2.792000E-6	0.156000
2.800000E-6	0.156000
2.808000E-6	0.152000
2.816000E-6	0.154000
2.824000E-6	0.146000
2.832000E-6	0.148000
2.840000E-6	0.154000
2.848000E-6	0.150000
2.856000E-6	0.148000
2.864000E-6	0.148000
2.872000E-6	0.150000
2.880000E-6	0.152000
2.888000E-6	0.152000
2.896000E-6	0.148000
2.904000E-6	0.106000
2.912000E-6	-0.158000
2.920000E-6	-0.160000
2.928000E-6	-0.158000
2.936000E-6	-0.158000
2.944000E-6	-0.162000
2.952000E-6	-0.150000
2.960000E-6	-0.158000
2.968000E-6	-0.156000
2.976000E-6	-0.156000
2.984000E-6	-0.154000
2.992000E-6	-0.154000
3.000000E-6	-0.160000
3.008000E-6	-0.164000
3.016000E-6	-0.156000
3.024000E-6	-0.156000
3.032000E-6	-0.160000
3.040000E-6	-0.154000
3.048000E-6	-0.158000
3.056000E-6	-0.156000
3.064000E-6	-0.158000
3.072000E-6	-0.162000
3.080000E-6	-0.158000
3.088000E-6	-0.158000
3.096000E-6	-0.160000
3.104000E-6	-0.158000
3.112000E-6	-0.158000
3.120000E-6	-0.158000
3.128000E-6	-0.156000
3.136000E-6	-0.158000
3.144000E-6	-0.154000
3.152000E-6	-0.158000
3.160000E-6	-0.160000
3.168000E-6	-0.154000
3.176000E-6	-0.152000
3.184000E-6	-0.156000
3.192000E-6	-0.156000
3.200000E-6	-0.162000
3.208000E-6	-0.154000
3.216000E-6	-0.152000
3.224000E-6	-0.162000
3.232000E-6	-0.156000
3.240000E-6	-0.148000
3.248000E-6	-0.152000
3.256000E-6	-0.160000
3.264000E-6	-0.162000
3.272000E-6	-0.158000
3.280000E-6	-0.162000
3.288000E-6	-0.158000
3.296000E-6	-0.158000
3.304000E-6	-0.162000
3.312000E-6	-0.158000
3.320000E-6	-0.152000
3.328000E-6	-0.160000
3.336000E-6	-0.160000
3.344000E-6	-0.158000
3.352000E-6	-0.158000
3.360000E-6	-0.156000
3.368000E-6	-0.158000
3.376000E-6	-0.156000
3.384000E-6	-0.154000
3.392000E-6	-0.156000
3.400000E-6	-0.156000
3.408000E-6	0.142000
3.416000E-6	0.156000
3.424000E-6	0.158000
3.432000E-6	0.154000
3.440000E-6	0.150000
3.448000E-6	0.156000
3.456000E-6	0.150000
3.464000E-6	0.158000
3.472000E-6	0.148000
3.480000E-6	0.146000
3.488000E-6	0.154000
3.496000E-6	0.148000
3.504000E-6	0.156000
3.512000E-6	0.150000
3.520000E-6	0.150000
3.528000E-6	0.150000
3.536000E-6	0.158000
3.544000E-6	0.150000
3.552000E-6	0.154000
3.560000E-6	0.150000
3.568000E-6	0.152000
3.576000E-6	0.152000
3.584000E-6	0.152000
3.592000E-6	0.148000
3.600000E-6	0.152000
3.608000E-6	0.146000
3.616000E-6	0.150000
3.624000E-6	0.152000
3.632000E-6	0.146000
3.640000E-6	0.150000
3.648000E-6	0.152000
3.656000E-6	0.154000
3.664000E-6	0.150000
3.672000E-6	0.148000
3.680000E-6	0.146000
3.688000E-6	0.152000
3.696000E-6	0.152000
3.704000E-6	0.152000
